key,value,date
1,15,1
1,15,2
1,14,3
1,16,4
1,12,5
1,13,6
1,8,7
1,8,8
1,8,9
1,11,10
1,17,11
1,9,12
1,8,13
1,13,14
1,16,15
1,9,16
1,10,17
1,15,18
1,13,19
1,6,20
2,23,1
2,21,2
2,25,3
2,23,4
2,21,5
2,14,6
2,8,7
2,24,8
2,18,9
2,11,10
2,9,11
2,13,12
2,10,13
2,11,14
2,17,15
2,17,16
2,12,17
2,22,18
2,13,19
2,6,20
3,7,1
3,8,2
3,15,3
3,10,4
3,20,5
3,18,6
3,8,7
3,10,8
3,16,9
3,15,10
3,15,11
3,15,12
3,14,13
3,13,14
3,19,15
3,15,16
3,23,17
3,18,18
3,18,19
3,18,20
4,11,1
4,15,2
4,21,3
4,15,4
4,20,5
4,18,6
4,15,7
4,17,8
4,18,9
4,13,10
4,16,11
4,9,12
4,14,13
4,11,14
4,18,15
4,13,16
4,11,17
4,9,18
4,15,19
4,13,20
5,9,1
5,15,2
5,13,3
5,11,4
5,8,5
5,16,6
5,7,7
5,14,8
5,11,9
5,12,10
5,9,11
5,11,12
5,11,13
5,10,14
5,6,15
5,7,16
5,5,17
5,8,18
5,9,19
5,2,20
6,11,1
6,13,2
6,17,3
6,11,4
6,16,5
6,15,6
6,6,7
6,12,8
6,10,9
6,13,10
6,5,11
6,16,12
6,15,13
6,7,14
6,15,15
6,15,16
6,12,17
6,21,18
6,15,19
6,15,20
7,18,1
7,14,2
7,15,3
7,17,4
7,17,5
7,18,6
7,7,7
7,12,8
7,8,9
7,9,10
7,8,11
7,15,12
7,8,13
7,11,14
7,16,15
7,21,16
7,11,17
7,13,18
7,19,19
7,21,20
